"eenheid","label"
"http://data.lblod.info/id/bestuurseenheden/b5b5dd1ba3ec660298af91fc1a52367f52d4cf369167c4c93c450dcd9a6f2c3b","Ninove"
"http://data.lblod.info/id/bestuurseenheden/83c7a12a4a8ac8dd82895715095a866dc4794e60de61b967419bdfc1e207ad96","Antwerpen"
"http://data.lblod.info/id/bestuurseenheden/b9171544b66a3db39fb8fcfee05632cf4e40e99c5ee2adfa6bb01c4b1710d964","Gavere"
"http://data.lblod.info/id/bestuurseenheden/d7647bc0a8e666de25cd429da54fc9e9909f886a177cb53df304f1273636f44d","Genk"
"http://data.lblod.info/id/bestuurseenheden/5f7bd773873d0f3910802f9855bdc2b6738aacc44fdb6d8ed45cdd8220f10586","Steenokkerzeel"
"http://data.lblod.info/id/bestuurseenheden/be5f63236aacb5478334077a901dbda6816a7b923753b49c06295777b47e6aa4","Meeuwen-Gruitrode"
"http://data.lblod.info/id/bestuurseenheden/2f570478b85dc12e5a980f82160a7b697fcff807eaa0500aa6474dbcc3383ec6","Gistel"
"http://data.lblod.info/id/bestuurseenheden/72bc672ceb6894d8dd31dc2dff2faad2fd93f4b9f5347d556d092516eaa30aa3","Beveren"
"http://data.lblod.info/id/bestuurseenheden/e195db74c07230ca36d6b804dca8e054ad7e7e5f0abe5ca61118a39bb4c87d83","Sint-Laureins"
"http://data.lblod.info/id/bestuurseenheden/d3c76fd84794dad5e12c9eed6d6332dc5e5c99daf0e4ddd7ceebf13d5d6c0ccd","Kruibeke"
"http://data.lblod.info/id/bestuurseenheden/4b0367328c54e6af11eb0993c441fccf82cee4784623962b78e5ceae7018f6f9","Houthulst"
"http://data.lblod.info/id/bestuurseenheden/3034a27a33930cc51bd440d5c270e96d7e536caec358175a57d41a0b9879695b","Landen"
"http://data.lblod.info/id/bestuurseenheden/5d21ccef2f5aa3ccbf3a74c6f25ebe9f0b1ef5a97b87f3d79c86ae9d6d857df8","Herne"
"http://data.lblod.info/id/bestuurseenheden/bff95ee9bf46fc421ec7d1549df0a2ea5766302510c3298916d33a7d713c1b50","Haaltert"
"http://data.lblod.info/id/bestuurseenheden/9ba66c8f97bbc6dd3ba2b35d8a6bb79215facbe3e5b3d52672b785449d6f5e58","Drogenbos"
"http://data.lblod.info/id/bestuurseenheden/240d6c23ed1488956468b3c2480f3acd1b69fd17a536f6731687d3066e657f45","Nijlen"
